Time,Acelerometer,Gyroscope,Magnetometer
00:27:02,"[-0.074951, 0.023682, 0.995605]","[1.037598, -0.457764, 0.030518]","[61.250061, 58.59333, -73.010897]"
00:27:03,"[-0.069824, 0.024414, 0.993408]","[0.88501, -0.335693, 0.030518]","[63.030586, 58.950607, -73.010897]"
00:27:04,"[-0.074219, 0.020508, 0.996826]","[1.098633, -0.335693, 0.030518]","[61.784219, 60.201074, -73.871875]"
00:27:05,"[-0.070801, 0.020264, 0.993652]","[0.976562, 0.0, 0.091553]","[62.318376, 57.521501, -72.666506]"
00:27:06,"[-0.073242, 0.018799, 0.996582]","[1.098633, -0.640869, 0.12207]","[62.496429, 58.057416, -72.14992]"
00:27:07,"[-0.072021, 0.018555, 0.992676]","[1.190186, -0.305176, 0.0]","[61.784219, 57.342863, -73.183093]"
00:27:08,"[-0.073242, 0.022949, 0.993652]","[1.098633, -0.183105, 0.183105]","[63.386691, 57.878777, -71.288942]"
00:27:09,"[-0.071533, 0.022461, 0.991455]","[0.823975, -0.488281, 0.030518]","[60.537851, 57.521501, -72.666506]"
00:27:10,"[-0.077637, 0.018799, 0.992188]","[1.190186, -0.274658, 0.030518]","[61.250061, 58.59333, -72.666506]"
00:27:11,"[-0.074463, 0.018799, 0.994629]","[1.037598, -0.152588, -0.061035]","[61.784219, 58.414692, -72.838702]"
00:27:12,"[-0.07251, 0.024902, 0.993408]","[0.732422, -0.305176, -0.061035]","[62.852534, 59.486521, -72.494311]"
00:27:13,"[-0.074951, 0.018555, 0.989502]","[0.88501, -0.427246, -0.091553]","[61.962271, 59.665159, -72.322115]"
00:27:14,"[-0.075684, 0.019531, 0.989014]","[1.281738, -0.183105, -0.183105]","[61.784219, 59.486521, -73.527484]"
00:27:15,"[-0.075439, 0.021484, 0.993164]","[0.732422, -0.457764, -0.12207]","[61.072009, 58.057416, -69.739183]"
00:27:16,"[-0.073242, 0.021973, 0.993164]","[1.220703, -0.274658, 0.0]","[61.428114, 57.342863, -71.805529]"
00:27:17,"[-0.075928, 0.024658, 0.991455]","[1.159668, -0.244141, 0.0]","[61.250061, 58.950607, -71.977724]"
00:27:18,"[-0.07373, 0.022949, 0.991211]","[1.251221, -0.183105, 0.030518]","[61.428114, 57.700139, -71.461138]"
00:27:19,"[-0.073242, 0.026123, 0.996338]","[1.00708, -0.518799, 0.091553]","[61.784219, 58.771968, -71.805529]"
00:27:20,"[-0.069092, 0.02002, 0.993896]","[1.220703, -0.640869, -0.030518]","[61.072009, 56.985586, -72.838702]"
00:27:21,"[-0.075195, 0.023438, 0.993652]","[1.068115, -0.305176, 0.183105]","[62.496429, 58.414692, -72.838702]"
00:27:22,"[-0.072021, 0.019775, 0.992676]","[1.281738, -0.213623, 0.152588]","[61.606166, 58.59333, -71.977724]"
00:27:23,"[-0.071533, 0.018311, 0.990234]","[0.88501, -0.457764, 0.152588]","[60.715904, 55.556481, -72.14992]"
00:27:24,"[-0.071777, 0.022461, 0.995117]","[0.946045, -0.274658, -0.183105]","[62.674481, 57.521501, -71.288942]"
00:27:25,"[-0.071289, 0.020508, 0.993408]","[1.12915, -0.244141, -0.030518]","[61.962271, 59.665159, -70.944551]"
00:27:26,"[-0.072754, 0.018066, 0.99707]","[1.342773, -0.427246, -0.183105]","[62.140324, 59.129245, -72.14992]"
00:27:27,"[-0.076904, 0.019531, 0.991455]","[0.793457, 0.152588, 0.030518]","[62.496429, 58.414692, -72.494311]"
00:27:28,"[-0.073486, 0.023193, 0.994629]","[1.251221, -0.244141, 0.152588]","[63.030586, 58.950607, -72.322115]"
00:27:29,"[-0.073486, 0.021729, 0.991699]","[0.946045, -0.518799, 0.030518]","[61.606166, 59.307883, -73.699679]"
00:27:30,"[-0.069336, 0.019531, 0.996582]","[0.854492, -0.274658, -0.091553]","[61.784219, 59.129245, -73.183093]"
00:27:31,"[-0.076416, 0.022461, 0.995361]","[1.037598, -0.549316, -0.152588]","[62.674481, 57.878777, -71.633333]"
00:27:32,"[-0.074951, 0.022217, 0.99707]","[0.915527, -0.213623, 0.183105]","[61.428114, 57.700139, -72.14992]"
00:27:33,"[-0.07666, 0.018066, 0.991455]","[1.098633, -0.274658, 0.12207]","[62.674481, 58.59333, -72.322115]"
00:27:34,"[-0.068848, 0.016602, 0.987305]","[1.220703, -0.213623, -0.030518]","[62.674481, 57.878777, -72.322115]"
00:27:35,"[-0.070557, 0.021729, 0.985596]","[1.037598, -0.366211, 0.061035]","[61.250061, 56.806948, -71.977724]"
00:27:36,"[-0.067871, 0.02124, 0.990234]","[0.854492, -0.396729, -0.152588]","[60.181746, 60.022436, -72.322115]"
00:27:37,"[-0.07373, 0.020996, 0.994873]","[1.251221, -0.457764, -0.091553]","[59.291484, 59.486521, -74.216266]"
00:27:38,"[-0.073242, 0.017822, 0.990967]","[1.037598, -0.244141, 0.12207]","[61.072009, 58.771968, -71.805529]"
00:27:39,"[-0.072754, 0.024414, 0.98999]","[1.00708, -0.335693, -0.061035]","[61.606166, 58.236054, -71.288942]"
00:27:41,"[-0.070801, 0.020752, 0.990479]","[0.946045, -0.305176, 0.12207]","[62.140324, 58.771968, -72.14992]"
00:27:42,"[-0.075439, 0.02002, 0.997314]","[1.190186, -0.183105, 0.0]","[61.606166, 57.521501, -71.977724]"
00:27:43,"[-0.076416, 0.022705, 0.996582]","[1.068115, -0.244141, 0.0]","[61.428114, 58.057416, -71.805529]"
00:27:44,"[-0.076416, 0.024658, 0.99585]","[1.159668, -0.427246, 0.030518]","[61.250061, 58.236054, -71.977724]"
00:27:45,"[-0.069336, 0.021729, 0.992188]","[1.373291, -0.549316, 0.0]","[62.318376, 58.950607, -71.633333]"
00:27:46,"[-0.076416, 0.02002, 0.994141]","[1.220703, -0.427246, -0.061035]","[63.030586, 57.164225, -71.633333]"
00:27:47,"[-0.074219, 0.020264, 0.987549]","[1.159668, -0.579834, 0.152588]","[63.386691, 60.022436, -71.633333]"
00:27:48,"[-0.075684, 0.019775, 0.994385]","[1.12915, -0.12207, -0.12207]","[61.250061, 58.950607, -71.977724]"
00:27:49,"[-0.075439, 0.020752, 0.996826]","[1.098633, -0.244141, 0.091553]","[62.140324, 57.700139, -73.527484]"
00:27:50,"[-0.071289, 0.019531, 0.991699]","[0.915527, -0.305176, 0.0]","[61.784219, 59.843798, -71.461138]"
00:27:51,"[-0.069336, 0.024414, 0.987305]","[1.037598, -0.335693, -0.061035]","[62.140324, 56.62831, -72.494311]"
