Time,Acelerometer,Gyroscope,Magnetometer
00:29:48,"[-0.071045, 0.017578, 0.990234]","[1.037598, -0.183105, -0.030518]","[63.386691, 57.878777, -72.322115]"
00:29:49,"[-0.074707, 0.021484, 0.98877]","[0.823975, -0.396729, -0.030518]","[61.962271, 58.236054, -71.977724]"
00:29:50,"[-0.070801, 0.02002, 0.990723]","[1.251221, -0.305176, -0.030518]","[62.318376, 59.307883, -74.732853]"
00:29:51,"[-0.070801, 0.022705, 0.993896]","[1.12915, -0.152588, 0.030518]","[59.825641, 57.521501, -72.322115]"
00:29:52,"[-0.07251, 0.019531, 0.989502]","[1.12915, -0.244141, 0.0]","[62.140324, 59.843798, -73.183093]"
00:29:53,"[-0.074951, 0.022461, 0.993164]","[0.88501, -0.091553, 0.061035]","[61.784219, 57.342863, -72.494311]"
00:29:54,"[-0.074219, 0.025635, 0.992432]","[0.946045, -0.244141, -0.244141]","[62.496429, 58.057416, -72.14992]"
00:29:55,"[-0.075195, 0.020508, 0.997314]","[1.068115, -0.366211, 0.030518]","[62.140324, 59.486521, -70.772356]"
00:29:56,"[-0.072998, 0.020508, 0.992188]","[1.159668, -0.366211, 0.061035]","[62.496429, 58.771968, -73.871875]"
00:29:57,"[-0.07373, 0.023682, 0.996094]","[0.732422, -0.701904, -0.030518]","[61.428114, 58.414692, -72.14992]"
00:29:58,"[-0.067871, 0.021973, 0.989746]","[1.037598, -0.579834, -0.12207]","[62.852534, 58.414692, -72.838702]"
00:29:59,"[-0.074463, 0.023193, 0.991455]","[1.190186, 0.0, -0.152588]","[60.893956, 58.236054, -70.255769]"
00:30:00,"[-0.076172, 0.018555, 0.991211]","[1.068115, -0.396729, 0.12207]","[61.784219, 58.414692, -71.805529]"
00:30:01,"[-0.074707, 0.017822, 0.990723]","[0.915527, -0.335693, -0.061035]","[62.140324, 60.558351, -72.494311]"
00:30:02,"[-0.070801, 0.020752, 0.992676]","[1.00708, -0.335693, 0.12207]","[60.715904, 58.414692, -72.494311]"
00:30:03,"[-0.07251, 0.025391, 0.991455]","[1.00708, -0.12207, 0.030518]","[59.825641, 57.521501, -73.355288]"
00:30:04,"[-0.07251, 0.018799, 0.991211]","[1.037598, -0.305176, 0.213623]","[60.715904, 57.700139, -73.527484]"
00:30:05,"[-0.077148, 0.022461, 0.995605]","[1.312256, -0.335693, 0.152588]","[62.140324, 58.414692, -71.461138]"
00:30:06,"[-0.074219, 0.019531, 0.995361]","[0.732422, -0.518799, 0.091553]","[61.784219, 59.486521, -72.494311]"
00:30:07,"[-0.072998, 0.022217, 0.993896]","[1.068115, -0.274658, 0.030518]","[61.606166, 58.236054, -72.666506]"
00:30:08,"[-0.071533, 0.01709, 0.996582]","[1.068115, -0.183105, 0.12207]","[61.606166, 58.950607, -72.666506]"
00:30:09,"[-0.074707, 0.023193, 0.99292]","[1.281738, -0.427246, -0.12207]","[62.852534, 57.342863, -73.183093]"
00:30:10,"[-0.066406, 0.020752, 0.998047]","[1.098633, -0.335693, 0.061035]","[60.893956, 58.59333, -71.977724]"
00:30:11,"[-0.070312, 0.021973, 0.993652]","[1.159668, -0.488281, 0.061035]","[61.072009, 58.771968, -72.14992]"
00:30:12,"[-0.072998, 0.021729, 0.991455]","[0.762939, -0.366211, -0.183105]","[62.496429, 59.486521, -73.183093]"
00:30:13,"[-0.076416, 0.02417, 0.986816]","[0.915527, -0.457764, 0.0]","[63.564744, 58.057416, -71.805529]"
00:30:14,"[-0.069336, 0.021484, 0.98877]","[0.915527, -0.701904, 0.030518]","[61.428114, 57.700139, -72.494311]"
00:30:15,"[-0.075684, 0.018555, 0.996094]","[0.976562, -0.244141, 0.0]","[61.962271, 58.950607, -71.977724]"
00:30:16,"[-0.076172, 0.020264, 0.990234]","[0.793457, -0.305176, 0.0]","[62.140324, 59.129245, -71.461138]"
00:30:17,"[-0.073975, 0.023682, 0.999268]","[1.068115, -0.732422, -0.12207]","[62.140324, 58.771968, -72.14992]"
00:30:18,"[-0.071045, 0.02002, 0.993164]","[1.12915, -0.061035, 0.12207]","[61.606166, 59.665159, -73.355288]"
00:30:19,"[-0.070801, 0.021729, 0.991211]","[0.946045, -0.091553, 0.091553]","[61.784219, 59.129245, -71.805529]"
00:30:20,"[-0.071777, 0.019775, 0.994141]","[0.88501, -0.335693, 0.213623]","[62.496429, 56.985586, -72.14992]"
00:30:21,"[-0.070312, 0.021973, 0.998779]","[0.976562, -0.518799, 0.12207]","[61.962271, 57.878777, -71.977724]"
00:30:22,"[-0.076416, 0.021973, 0.99292]","[0.793457, -0.701904, -0.12207]","[61.072009, 57.700139, -71.116747]"
00:30:23,"[-0.075684, 0.020508, 0.997803]","[1.037598, -0.457764, 0.0]","[63.920849, 58.057416, -72.14992]"
00:30:24,"[-0.07251, 0.018555, 0.994629]","[1.037598, -0.518799, 0.0]","[63.564744, 59.129245, -73.183093]"
00:30:25,"[-0.071777, 0.021729, 0.997803]","[1.159668, -0.183105, 0.213623]","[61.250061, 58.236054, -70.944551]"
00:30:26,"[-0.072754, 0.019531, 0.99585]","[1.098633, -0.213623, 0.274658]","[61.784219, 57.342863, -71.116747]"
00:30:27,"[-0.07251, 0.020996, 0.994873]","[0.762939, -0.244141, 0.030518]","[63.030586, 58.59333, -70.255769]"
00:30:28,"[-0.07251, 0.020996, 0.996094]","[0.946045, -0.183105, 0.0]","[63.030586, 59.307883, -73.010897]"
00:30:29,"[-0.074951, 0.023926, 1.001465]","[0.793457, -0.366211, 0.0]","[61.072009, 58.414692, -71.805529]"
00:30:30,"[-0.071289, 0.024414, 1.001221]","[1.037598, -0.640869, 0.091553]","[61.784219, 57.700139, -72.838702]"
00:30:32,"[-0.07373, 0.019287, 0.997314]","[0.976562, -0.427246, 0.061035]","[62.318376, 58.59333, -71.633333]"
00:30:33,"[-0.072998, 0.023682, 0.989258]","[1.068115, -0.305176, 0.213623]","[62.318376, 58.59333, -71.633333]"
00:30:34,"[-0.07251, 0.018311, 0.989502]","[1.190186, -0.366211, -0.030518]","[61.250061, 58.236054, -71.633333]"
00:30:35,"[-0.070312, 0.02002, 0.990723]","[1.068115, -0.274658, 0.12207]","[62.140324, 58.057416, -72.838702]"
00:30:36,"[-0.074951, 0.027832, 0.968018]","[1.037598, -0.488281, -0.030518]","[62.674481, 56.449672, -73.699679]"
00:30:37,"[-0.064941, 0.019287, 0.993164]","[1.342773, -0.244141, -0.305176]","[62.318376, 58.950607, -73.010897]"
00:30:38,"[-0.07251, 0.023682, 0.993652]","[1.037598, -0.274658, 0.12207]","[62.852534, 59.129245, -71.805529]"
00:30:39,"[-0.073242, 0.018311, 0.993408]","[0.854492, -0.091553, -0.183105]","[62.496429, 59.129245, -71.805529]"
00:30:40,"[-0.074463, 0.022705, 0.996094]","[1.037598, -0.640869, 0.0]","[61.250061, 57.878777, -72.666506]"
00:30:41,"[-0.072754, 0.022949, 0.999512]","[1.098633, -0.427246, -0.030518]","[61.606166, 58.950607, -71.633333]"
00:30:42,"[-0.071777, 0.022217, 0.991455]","[0.946045, -0.427246, -0.061035]","[62.852534, 58.057416, -72.14992]"
00:30:43,"[-0.072998, 0.023926, 0.995605]","[1.037598, -0.213623, -0.152588]","[62.140324, 58.414692, -73.183093]"
00:30:44,"[-0.071289, 0.019287, 0.98877]","[1.00708, -0.518799, 0.12207]","[62.140324, 57.700139, -71.461138]"
00:30:45,"[-0.074951, 0.020752, 0.991699]","[1.037598, -0.396729, 0.061035]","[61.428114, 57.700139, -72.14992]"
00:30:46,"[-0.073242, 0.022705, 0.991699]","[1.12915, -0.061035, 0.091553]","[63.030586, 57.164225, -72.322115]"
00:30:47,"[-0.070557, 0.024414, 0.993408]","[0.854492, -0.274658, 0.183105]","[62.140324, 58.414692, -71.116747]"
00:30:48,"[-0.074707, 0.022217, 0.993652]","[1.12915, -0.457764, 0.030518]","[63.564744, 58.771968, -72.494311]"
00:30:49,"[-0.073242, 0.02002, 0.995605]","[1.312256, -0.366211, 0.0]","[62.852534, 59.129245, -72.838702]"
00:30:50,"[-0.075928, 0.018799, 0.994873]","[1.00708, -0.488281, 0.061035]","[63.564744, 57.700139, -72.14992]"
00:30:51,"[-0.070801, 0.023682, 0.997314]","[1.12915, -0.274658, 0.213623]","[62.674481, 58.236054, -71.288942]"
00:30:52,"[-0.071533, 0.023682, 0.993896]","[1.068115, -0.427246, -0.152588]","[60.537851, 57.878777, -71.288942]"
00:30:53,"[-0.073975, 0.019531, 0.993408]","[1.098633, -0.427246, -0.244141]","[63.208639, 59.129245, -72.838702]"
00:30:54,"[-0.07373, 0.022705, 0.989014]","[1.098633, -0.183105, -0.030518]","[62.496429, 57.700139, -73.871875]"
00:30:55,"[-0.07251, 0.018555, 0.989746]","[1.068115, -0.488281, 0.0]","[61.962271, 57.878777, -73.699679]"
00:30:56,"[-0.072021, 0.020508, 0.990234]","[0.976562, -0.427246, 0.061035]","[61.250061, 57.164225, -71.977724]"
00:30:57,"[-0.069336, 0.019531, 0.98584]","[1.098633, -0.274658, -0.12207]","[61.784219, 58.771968, -72.494311]"
00:30:58,"[-0.067139, 0.026855, 0.994873]","[1.00708, -0.579834, 0.061035]","[61.072009, 57.700139, -73.183093]"
00:30:59,"[-0.068848, 0.019775, 0.987793]","[0.671387, -0.366211, 0.030518]","[62.496429, 57.342863, -71.461138]"
00:31:00,"[-0.06958, 0.02002, 0.996094]","[1.00708, -0.061035, -0.030518]","[63.920849, 58.057416, -73.871875]"
00:31:01,"[-0.071777, 0.023438, 0.989502]","[1.312256, -0.518799, 0.0]","[61.606166, 59.665159, -72.666506]"
00:31:02,"[-0.069336, 0.023193, 0.997559]","[1.159668, -0.091553, 0.213623]","[60.893956, 58.59333, -73.010897]"
00:31:03,"[-0.074463, 0.022217, 0.994141]","[1.190186, -0.518799, 0.061035]","[61.606166, 58.950607, -73.010897]"
00:31:04,"[-0.072998, 0.02124, 0.994873]","[0.976562, -0.274658, -0.091553]","[62.496429, 58.414692, -73.183093]"
00:31:05,"[-0.072266, 0.025635, 0.993408]","[1.068115, -0.427246, -0.274658]","[61.962271, 58.950607, -71.288942]"
00:31:06,"[-0.07373, 0.021973, 1.000732]","[1.068115, -0.549316, 0.061035]","[60.181746, 58.950607, -71.633333]"
00:31:07,"[-0.067871, 0.023438, 0.990723]","[0.640869, -0.335693, 0.152588]","[61.784219, 58.414692, -71.461138]"
00:31:08,"[-0.07251, 0.020508, 0.993896]","[1.159668, -0.183105, -0.213623]","[61.428114, 58.771968, -72.494311]"
00:31:09,"[-0.070312, 0.025879, 0.994873]","[1.12915, -0.183105, -0.12207]","[62.674481, 57.878777, -73.355288]"
00:31:10,"[-0.074219, 0.02124, 0.993408]","[0.976562, -0.335693, 0.183105]","[61.784219, 58.057416, -73.183093]"
00:31:11,"[-0.070557, 0.020996, 0.995361]","[1.037598, -0.274658, -0.152588]","[62.140324, 59.843798, -71.461138]"
00:31:12,"[-0.074707, 0.018066, 0.993164]","[0.976562, -0.213623, -0.030518]","[62.674481, 58.59333, -71.633333]"
00:31:14,"[-0.070801, 0.023193, 0.995361]","[1.12915, -0.061035, -0.183105]","[61.072009, 57.700139, -73.183093]"
00:31:15,"[-0.071289, 0.020508, 0.996094]","[0.976562, -0.549316, 0.152588]","[62.140324, 58.414692, -71.805529]"
00:31:16,"[-0.072021, 0.019775, 0.993164]","[1.098633, -0.244141, -0.030518]","[61.784219, 60.201074, -70.427965]"
00:31:17,"[-0.07666, 0.022217, 0.995605]","[1.037598, -0.396729, -0.091553]","[60.893956, 58.59333, -73.699679]"
00:31:18,"[-0.075195, 0.02002, 0.993408]","[1.068115, -0.488281, 0.152588]","[62.496429, 57.342863, -72.14992]"
00:31:19,"[-0.071777, 0.023438, 0.993652]","[1.220703, -0.274658, 0.091553]","[61.072009, 58.414692, -72.494311]"
00:31:20,"[-0.071045, 0.022461, 0.999756]","[0.915527, -0.549316, -0.030518]","[61.072009, 60.558351, -72.838702]"
00:31:21,"[-0.072266, 0.023193, 0.992188]","[1.159668, -0.244141, -0.12207]","[61.606166, 57.878777, -72.666506]"
00:31:22,"[-0.074219, 0.018799, 0.994385]","[1.434326, -0.091553, -0.030518]","[62.140324, 56.62831, -73.183093]"
00:31:23,"[-0.067871, 0.020752, 0.993408]","[1.12915, -0.274658, 0.213623]","[62.140324, 58.771968, -72.14992]"
00:31:24,"[-0.072998, 0.024414, 0.993164]","[0.823975, -0.274658, -0.061035]","[61.784219, 58.057416, -72.838702]"
00:31:25,"[-0.06958, 0.018555, 0.990479]","[1.00708, -0.518799, 0.244141]","[62.674481, 57.878777, -72.666506]"
00:31:26,"[-0.068359, 0.022217, 0.992432]","[0.946045, -0.610352, -0.12207]","[61.072009, 58.057416, -73.527484]"
00:31:27,"[-0.066895, 0.021729, 0.994629]","[0.732422, -0.244141, -0.030518]","[61.962271, 57.878777, -73.010897]"
00:31:28,"[-0.071045, 0.015381, 0.990479]","[0.976562, -0.244141, -0.12207]","[61.428114, 58.057416, -73.183093]"
00:31:29,"[-0.074951, 0.02124, 0.997559]","[0.854492, -0.457764, 0.030518]","[62.140324, 58.414692, -71.805529]"
00:31:30,"[-0.07373, 0.02124, 0.997559]","[1.12915, -0.244141, 0.061035]","[64.633059, 59.129245, -72.838702]"
00:31:31,"[-0.072998, 0.020996, 0.986816]","[1.342773, -0.396729, -0.061035]","[63.920849, 58.057416, -72.494311]"
00:31:32,"[-0.067627, 0.021729, 0.975586]","[1.403809, -0.366211, 0.396729]","[61.250061, 57.521501, -72.666506]"
00:31:33,"[-0.078369, 0.022217, 0.994629]","[1.00708, -0.488281, 0.274658]","[61.784219, 58.414692, -71.116747]"
00:31:34,"[-0.071045, 0.025146, 0.997803]","[0.88501, -0.183105, -0.152588]","[62.496429, 59.129245, -70.427965]"
00:31:35,"[-0.069092, 0.02002, 0.993896]","[1.098633, -0.274658, -0.183105]","[62.496429, 59.129245, -71.461138]"
00:31:36,"[-0.074219, 0.02417, 0.996094]","[1.220703, -0.244141, 0.183105]","[61.428114, 58.414692, -72.838702]"
00:31:37,"[-0.072266, 0.020996, 0.990479]","[1.00708, -0.488281, 0.0]","[61.784219, 58.414692, -72.494311]"
00:31:38,"[-0.071045, 0.020752, 0.995605]","[1.159668, -0.427246, 0.061035]","[60.715904, 59.843798, -72.14992]"
00:31:39,"[-0.071533, 0.020264, 0.993164]","[1.12915, -0.366211, -0.091553]","[61.072009, 58.771968, -72.14992]"
00:31:40,"[-0.068848, 0.020264, 0.999512]","[0.976562, -0.518799, -0.061035]","[61.250061, 59.307883, -72.322115]"
00:31:41,"[-0.075684, 0.025146, 0.999268]","[1.098633, -0.183105, 0.183105]","[62.852534, 57.700139, -72.838702]"
00:31:42,"[-0.074707, 0.020752, 0.99707]","[1.190186, -0.244141, 0.091553]","[61.784219, 58.414692, -73.527484]"
00:31:43,"[-0.074219, 0.017822, 0.98877]","[1.312256, -0.305176, 0.12207]","[61.606166, 58.950607, -73.355288]"
00:31:44,"[-0.071777, 0.022461, 0.989258]","[0.915527, -0.244141, -0.12207]","[61.428114, 56.62831, -72.494311]"
00:31:45,"[-0.077393, 0.022705, 0.994629]","[0.976562, -0.274658, 0.091553]","[60.003694, 57.700139, -72.494311]"
00:31:46,"[-0.07251, 0.019287, 0.99292]","[0.946045, -0.518799, 0.030518]","[63.030586, 58.59333, -71.977724]"
00:31:47,"[-0.068604, 0.02124, 0.987549]","[1.098633, -0.427246, -0.091553]","[63.386691, 58.236054, -71.633333]"
00:31:48,"[-0.073242, 0.018555, 0.987549]","[0.915527, -0.305176, 0.091553]","[60.537851, 58.236054, -73.010897]"
00:31:49,"[-0.107666, 0.013184, 1.025879]","[0.366211, -0.518799, -0.091553]","[61.072009, 60.558351, -70.772356]"
00:31:50,"[-0.075439, 0.02002, 0.988037]","[1.434326, -0.152588, 0.030518]","[60.893956, 57.878777, -73.010897]"
00:31:51,"[-0.074707, 0.022217, 0.986816]","[1.00708, -0.244141, -0.030518]","[61.606166, 60.736989, -73.355288]"
00:31:52,"[-0.069824, 0.021484, 0.990234]","[1.12915, -0.640869, 0.030518]","[60.893956, 57.521501, -73.010897]"
00:31:53,"[-0.073486, 0.020264, 0.992676]","[1.190186, -0.610352, -0.091553]","[61.784219, 58.057416, -72.838702]"
00:31:54,"[-0.072021, 0.018799, 0.997559]","[0.976562, -0.030518, 0.152588]","[62.140324, 57.342863, -72.14992]"
00:31:55,"[-0.068359, 0.023926, 0.991943]","[1.159668, -0.152588, -0.213623]","[61.962271, 58.950607, -72.666506]"
00:31:56,"[-0.071045, 0.018066, 0.996582]","[1.159668, -0.366211, 0.12207]","[62.496429, 58.057416, -70.427965]"
00:31:58,"[-0.070801, 0.02002, 0.994629]","[1.12915, 0.061035, 0.030518]","[61.962271, 60.379712, -71.977724]"
00:31:59,"[-0.074951, 0.021729, 0.996094]","[1.12915, -0.152588, -0.183105]","[61.428114, 58.414692, -73.183093]"
00:32:00,"[-0.07373, 0.018066, 0.98877]","[0.854492, -0.183105, -0.12207]","[61.428114, 57.342863, -72.494311]"
00:32:01,"[-0.073242, 0.019043, 0.989258]","[0.823975, -0.640869, 0.12207]","[62.318376, 58.59333, -73.010897]"
00:32:02,"[-0.068604, 0.018799, 0.993408]","[0.88501, -0.213623, 0.0]","[62.140324, 58.414692, -71.805529]"
00:32:03,"[-0.070801, 0.020264, 0.991699]","[1.312256, -0.213623, -0.061035]","[61.606166, 58.950607, -73.355288]"
00:32:04,"[-0.073242, 0.025146, 0.996582]","[1.068115, -0.518799, 0.12207]","[61.606166, 58.59333, -73.699679]"
00:32:05,"[-0.072021, 0.022217, 0.99292]","[1.068115, -0.396729, 0.183105]","[61.784219, 57.700139, -70.427965]"
00:32:06,"[-0.071533, 0.025146, 0.995361]","[0.976562, -0.488281, 0.061035]","[62.674481, 58.236054, -71.977724]"
00:32:07,"[-0.074219, 0.020264, 0.986816]","[1.098633, -0.457764, 0.0]","[62.318376, 59.307883, -71.977724]"
00:32:08,"[-0.073975, 0.019775, 1.0]","[0.854492, -0.396729, -0.061035]","[62.674481, 58.236054, -72.666506]"
00:32:09,"[-0.068359, 0.020752, 0.989746]","[0.915527, -0.366211, 0.091553]","[61.428114, 58.414692, -70.772356]"
00:32:10,"[-0.073486, 0.024902, 0.991699]","[1.098633, -0.610352, 0.0]","[61.606166, 59.307883, -71.977724]"
00:32:11,"[-0.071045, 0.018066, 0.98877]","[1.12915, -0.091553, 0.061035]","[61.606166, 58.950607, -71.288942]"
00:32:12,"[-0.072998, 0.019775, 0.993408]","[1.251221, -0.335693, 0.061035]","[61.428114, 58.057416, -71.116747]"
00:32:13,"[-0.077393, 0.020508, 0.996826]","[1.220703, -0.274658, -0.030518]","[62.318376, 60.022436, -71.977724]"
00:32:14,"[-0.074219, 0.018555, 0.993896]","[1.098633, -0.366211, 0.213623]","[61.962271, 58.950607, -71.288942]"
00:32:15,"[-0.071045, 0.020508, 0.993408]","[1.281738, -0.427246, -0.12207]","[62.496429, 58.057416, -72.494311]"
00:32:16,"[-0.072754, 0.019287, 0.99585]","[0.915527, -0.152588, 0.0]","[62.318376, 58.950607, -71.977724]"
00:32:17,"[-0.073975, 0.018799, 0.99707]","[1.037598, -0.579834, 0.0]","[61.606166, 57.878777, -70.944551]"
00:32:18,"[-0.07251, 0.019531, 0.986572]","[1.220703, -0.732422, -0.061035]","[61.606166, 58.950607, -73.355288]"
00:32:19,"[-0.07251, 0.020752, 0.993164]","[0.915527, -0.274658, 0.030518]","[61.784219, 58.771968, -72.494311]"
00:32:20,"[-0.071045, 0.023682, 0.997314]","[1.037598, -0.518799, 0.183105]","[62.496429, 57.342863, -71.116747]"
00:32:21,"[-0.072998, 0.021729, 0.993164]","[0.946045, -0.427246, 0.061035]","[60.893956, 57.164225, -73.010897]"
00:32:22,"[-0.071533, 0.02002, 0.990967]","[0.976562, -0.091553, -0.061035]","[61.606166, 58.950607, -73.355288]"
00:32:23,"[-0.074951, 0.01709, 0.98584]","[1.281738, -0.305176, 0.091553]","[61.250061, 58.236054, -71.288942]"
00:32:24,"[-0.072266, 0.021729, 0.989258]","[1.037598, -0.427246, -0.152588]","[61.428114, 58.771968, -72.494311]"
00:32:25,"[-0.074463, 0.019043, 0.996094]","[1.220703, -0.244141, 0.030518]","[61.784219, 58.771968, -72.494311]"
00:32:26,"[-0.07373, 0.017822, 0.986328]","[0.915527, -0.244141, 0.091553]","[61.428114, 59.129245, -72.838702]"
00:32:27,"[-0.074951, 0.022217, 0.99585]","[1.190186, -0.183105, -0.061035]","[61.250061, 58.236054, -73.699679]"
00:32:28,"[-0.073486, 0.019531, 0.987305]","[1.068115, -0.579834, -0.183105]","[60.893956, 57.521501, -71.633333]"
00:32:29,"[-0.074219, 0.022949, 0.993164]","[1.12915, -0.274658, 0.274658]","[62.140324, 59.486521, -71.805529]"
00:32:30,"[-0.074219, 0.019775, 1.000244]","[1.12915, -0.366211, -0.12207]","[60.359799, 57.342863, -73.527484]"
00:32:31,"[-0.073975, 0.020996, 0.993164]","[1.098633, -0.244141, 0.091553]","[62.318376, 58.236054, -71.977724]"
00:32:32,"[-0.072266, 0.019531, 0.995361]","[1.190186, -0.12207, 0.0]","[62.496429, 57.342863, -71.805529]"
00:32:33,"[-0.074707, 0.022461, 0.992188]","[1.037598, -0.518799, -0.061035]","[61.428114, 57.700139, -72.14992]"
00:32:34,"[-0.071533, 0.019287, 0.990967]","[1.12915, -0.457764, 0.152588]","[62.318376, 58.236054, -71.633333]"
00:32:35,"[-0.073975, 0.020264, 0.995117]","[1.098633, -0.213623, -0.030518]","[62.496429, 59.129245, -72.14992]"
00:32:36,"[-0.066895, 0.023926, 0.998047]","[1.159668, -0.152588, 0.213623]","[62.674481, 57.164225, -72.322115]"
00:32:37,"[-0.072754, 0.02002, 0.986572]","[1.12915, -0.091553, 0.091553]","[62.140324, 57.700139, -73.183093]"
00:32:39,"[-0.070312, 0.022461, 0.99585]","[1.037598, -0.427246, -0.030518]","[61.784219, 57.342863, -72.14992]"
00:32:40,"[-0.07373, 0.022705, 0.99292]","[0.915527, -0.305176, 0.0]","[61.428114, 57.700139, -73.183093]"
00:32:41,"[-0.070557, 0.020264, 0.990967]","[1.068115, -0.061035, 0.030518]","[62.496429, 57.342863, -72.838702]"
00:32:42,"[-0.073975, 0.021973, 0.990479]","[0.88501, -0.427246, 0.091553]","[60.893956, 58.236054, -71.977724]"
00:32:43,"[-0.072266, 0.022217, 0.987793]","[1.12915, -0.274658, 0.305176]","[60.715904, 57.700139, -70.427965]"
00:32:44,"[-0.07373, 0.020996, 0.996826]","[1.00708, -0.335693, -0.061035]","[61.250061, 57.521501, -72.666506]"
00:32:45,"[-0.071045, 0.02002, 0.992432]","[0.854492, -0.396729, 0.12207]","[61.962271, 57.521501, -71.977724]"
00:32:46,"[-0.075195, 0.018555, 0.990723]","[1.00708, -0.305176, -0.091553]","[61.962271, 57.521501, -73.010897]"
00:32:47,"[-0.068115, 0.020752, 0.991211]","[0.976562, -0.213623, 0.0]","[62.140324, 57.700139, -71.461138]"
00:32:48,"[-0.06958, 0.019775, 0.996094]","[1.00708, -0.305176, -0.030518]","[63.564744, 58.057416, -72.838702]"
00:32:49,"[-0.075195, 0.020508, 0.989014]","[1.312256, -0.366211, 0.152588]","[61.606166, 57.878777, -72.322115]"
00:32:50,"[-0.070557, 0.019531, 0.99292]","[0.732422, -0.488281, -0.061035]","[61.606166, 57.878777, -71.633333]"
00:32:51,"[-0.070801, 0.02417, 0.992676]","[1.159668, -0.244141, 0.0]","[63.030586, 59.307883, -71.633333]"
00:32:52,"[-0.071289, 0.023193, 0.986328]","[0.976562, -0.549316, 0.061035]","[62.318376, 57.521501, -73.355288]"
00:32:53,"[-0.074951, 0.017822, 0.990234]","[0.976562, -0.671387, -0.030518]","[61.072009, 57.700139, -72.494311]"
00:32:54,"[-0.073486, 0.020996, 0.993896]","[1.159668, -0.579834, 0.244141]","[61.250061, 58.236054, -72.666506]"
00:32:55,"[-0.072021, 0.020508, 0.996826]","[1.068115, -0.061035, 0.152588]","[59.647589, 56.62831, -71.805529]"
00:32:56,"[-0.075684, 0.023193, 0.996582]","[1.190186, -0.701904, 0.030518]","[61.606166, 57.521501, -72.322115]"
00:32:57,"[-0.07251, 0.024902, 0.991455]","[0.854492, -0.396729, -0.091553]","[61.250061, 59.307883, -72.666506]"
00:32:58,"[-0.073242, 0.019287, 0.996094]","[1.312256, -0.244141, 0.274658]","[62.496429, 58.771968, -72.494311]"
00:32:59,"[-0.070801, 0.022461, 0.99707]","[1.251221, -0.396729, 0.12207]","[62.140324, 58.771968, -72.494311]"
00:33:00,"[-0.072021, 0.018311, 0.996826]","[1.068115, -0.488281, 0.091553]","[62.318376, 58.59333, -72.322115]"
00:33:01,"[-0.073486, 0.020264, 0.992432]","[0.823975, -0.244141, 0.0]","[61.606166, 57.164225, -73.355288]"
00:33:02,"[-0.071533, 0.019287, 0.993896]","[0.946045, -0.366211, 0.152588]","[62.496429, 59.129245, -71.805529]"
00:33:03,"[-0.075195, 0.024414, 0.989502]","[1.12915, -0.396729, -0.152588]","[62.140324, 58.057416, -73.183093]"
00:33:04,"[-0.071289, 0.02124, 0.991211]","[1.220703, -0.366211, 0.030518]","[61.606166, 57.878777, -72.666506]"
00:33:05,"[-0.074951, 0.024902, 1.001465]","[1.342773, -0.701904, 0.213623]","[61.072009, 58.057416, -71.116747]"
00:33:06,"[-0.074707, 0.022217, 0.98877]","[0.823975, -0.396729, 0.183105]","[61.606166, 58.59333, -73.355288]"
00:33:07,"[-0.07251, 0.02002, 0.993896]","[1.159668, -0.427246, -0.091553]","[61.250061, 58.236054, -74.044071]"
00:33:08,"[-0.075439, 0.021484, 0.991943]","[1.190186, -0.579834, 0.0]","[61.250061, 57.164225, -71.288942]"
00:33:09,"[-0.076416, 0.018311, 0.987305]","[1.098633, -0.549316, 0.152588]","[61.606166, 57.521501, -71.977724]"
00:33:10,"[-0.073975, 0.02417, 0.994141]","[1.098633, -0.335693, 0.091553]","[60.893956, 57.521501, -71.633333]"
00:33:11,"[-0.074707, 0.022217, 0.99585]","[1.12915, -0.244141, 0.152588]","[60.359799, 59.486521, -73.183093]"
00:33:12,"[-0.070068, 0.019287, 0.994629]","[1.190186, -0.457764, 0.0]","[61.428114, 58.057416, -72.838702]"
00:33:13,"[-0.072021, 0.023193, 0.98291]","[1.12915, -0.274658, 0.0]","[62.140324, 59.129245, -71.805529]"
00:33:14,"[-0.073242, 0.024902, 0.990967]","[1.342773, -0.366211, -0.12207]","[62.318376, 58.950607, -73.010897]"
00:33:15,"[-0.078369, 0.016357, 0.990234]","[1.312256, -0.457764, 0.152588]","[62.674481, 58.236054, -71.977724]"
00:33:16,"[-0.074951, 0.022217, 0.996582]","[1.098633, -0.244141, 0.183105]","[61.606166, 57.878777, -71.288942]"
00:33:17,"[-0.070801, 0.021973, 0.998535]","[1.068115, -0.396729, 0.152588]","[62.140324, 60.201074, -71.805529]"
00:33:18,"[-0.078613, 0.022217, 0.993652]","[1.312256, -0.305176, -0.030518]","[63.030586, 56.449672, -71.288942]"
00:33:19,"[-0.069824, 0.024902, 0.996094]","[1.281738, -0.488281, 0.061035]","[61.784219, 58.057416, -73.527484]"
00:33:20,"[-0.069336, 0.019531, 0.991943]","[1.190186, -0.335693, 0.12207]","[60.893956, 58.236054, -71.633333]"
00:33:21,"[-0.071777, 0.018799, 0.991455]","[0.915527, -0.427246, 0.061035]","[61.606166, 58.59333, -72.666506]"
00:33:23,"[-0.069336, 0.020508, 0.983154]","[0.762939, -0.12207, 0.335693]","[59.825641, 56.449672, -71.633333]"
00:33:24,"[-0.074707, 0.022705, 0.995117]","[1.281738, -0.274658, 0.061035]","[62.496429, 57.700139, -70.083574]"
